S 34e738,4 hit 
L 30c3fc,4 hit 
S 34e844,4 hit 
L 30c400,4 miss eviction 
S 34e950,4 hit 
L 30c404,4 hit 
S 34ea5c,4 hit 
L 30c4ec,4 hit 
S 34e73c,4 hit 
L 30c4f0,4 hit 
S 34e848,4 hit 
L 30c4f4,4 hit 
S 34e954,4 hit 
L 30c4f8,4 hit 
S 34ea60,4 miss eviction 
L 30c220,4 miss eviction 
S 34eb60,4 miss eviction 
L 30c224,4 hit 
S 34ec6c,4 miss eviction 
L 30c228,4 hit 
S 34ed78,4 miss eviction 
L 30c22c,4 hit 
S 34ee84,4 miss eviction 
L 30c314,4 hit 
S 34eb64,4 hit 
L 30c318,4 hit 
S 34ec70,4 hit 
L 30c31c,4 hit 
S 34ed7c,4 hit 
L 30c320,4 miss eviction 
S 34ee88,4 hit 
L 30c408,4 hit 
S 34eb68,4 hit 
L 30c40c,4 hit 
S 34ec74,4 hit 
L 30c410,4 hit 
S 34ed80,4 miss eviction 
L 30c414,4 hit 
S 34ee8c,4 hit 
L 30c4fc,4 hit 
S 34eb6c,4 hit 
L 30c500,4 miss eviction 
S 34ec78,4 hit 
L 30c504,4 hit 
S 34ed84,4 hit 
L 30c508,4 hit 
S 34ee90,4 hit 
L 30c230,4 hit 
S 34ef90,4 miss eviction 
L 30c234,4 hit 
S 34f09c,4 miss eviction 
L 30c238,4 hit 
S 34f1a8,4 miss eviction 
L 30c23c,4 hit 
S 34f2b4,4 miss eviction 
L 30c324,4 hit 
S 34ef94,4 hit 
L 30c328,4 hit 
S 34f0a0,4 miss eviction 
L 30c32c,4 hit 
S 34f1ac,4 hit 
L 30c330,4 hit 
S 34f2b8,4 hit 
L 30c418,4 hit 
S 34ef98,4 hit 
L 30c41c,4 hit 
S 34f0a4,4 hit 
L 30c420,4 miss eviction 
S 34f1b0,4 hit 
L 30c424,4 hit 
S 34f2bc,4 hit 
L 30c50c,4 hit 
S 34ef9c,4 hit 
L 30c510,4 hit 
S 34f0a8,4 hit 
L 30c514,4 hit 
S 34f1b4,4 hit 
L 30c518,4 hit 
S 34f2c0,4 miss eviction 
L 30c240,4 miss eviction 
S 34f3c0,4 miss eviction 
L 30c244,4 hit 
S 34f4cc,4 miss eviction 
L 30c248,4 hit 
S 34f5d8,4 miss eviction 
L 30c24c,4 hit 
