L 30a628,4 hit 
S 34a248,4 hit 
L 30a62c,4 hit 
S 34a2c8,4 hit 
L 30a630,4 hit 
S 34a348,4 hit 
L 30a634,4 hit 
S 34a3c8,4 hit 
L 30a638,4 hit 
S 34a448,4 hit 
L 30a63c,4 hit 
S 34a4c8,4 hit 
L 30a6a0,4 miss eviction 
S 34a14c,4 hit 
L 30a6a4,4 hit 
S 34a1cc,4 hit 
L 30a6a8,4 hit 
S 34a24c,4 hit 
L 30a6ac,4 hit 
S 34a2cc,4 hit 
L 30a6b0,4 hit 
S 34a34c,4 hit 
L 30a6b4,4 hit 
S 34a3cc,4 hit 
L 30a6b8,4 hit 
S 34a44c,4 hit 
L 30a6bc,4 hit 
S 34a4cc,4 hit 
L 30a720,4 miss eviction 
S 34a150,4 hit 
L 30a724,4 hit 
S 34a1d0,4 hit 
L 30a728,4 hit 
S 34a250,4 hit 
L 30a72c,4 hit 
S 34a2d0,4 hit 
L 30a730,4 hit 
S 34a350,4 hit 
L 30a734,4 hit 
S 34a3d0,4 hit 
L 30a738,4 hit 
S 34a450,4 hit 
L 30a73c,4 hit 
S 34a4d0,4 hit 
L 30a7a0,4 miss eviction 
S 34a154,4 hit 
L 30a7a4,4 hit 
S 34a1d4,4 hit 
L 30a7a8,4 hit 
S 34a254,4 hit 
L 30a7ac,4 hit 
S 34a2d4,4 hit 
L 30a7b0,4 hit 
S 34a354,4 hit 
L 30a7b4,4 hit 
S 34a3d4,4 hit 
L 30a7b8,4 hit 
S 34a454,4 hit 
L 30a7bc,4 hit 
S 34a4d4,4 hit 
L 30a820,4 miss eviction 
S 34a158,4 hit 
L 30a824,4 hit 
S 34a1d8,4 hit 
L 30a828,4 hit 
S 34a258,4 hit 
L 30a82c,4 hit 
S 34a2d8,4 hit 
L 30a830,4 hit 
S 34a358,4 hit 
L 30a834,4 hit 
S 34a3d8,4 hit 
L 30a838,4 hit 
S 34a458,4 hit 
L 30a83c,4 hit 
S 34a4d8,4 hit 
L 30a8a0,4 miss eviction 
S 34a15c,4 hit 
L 30a8a4,4 hit 
S 34a1dc,4 hit 
L 30a8a8,4 hit 
S 34a25c,4 hit 
L 30a8ac,4 hit 
S 34a2dc,4 hit 
L 30a8b0,4 hit 
S 34a35c,4 hit 
L 30a8b4,4 hit 
S 34a3dc,4 hit 
L 30a8b8,4 hit 
S 34a45c,4 hit 
L 30a8bc,4 hit 
S 34a4dc,4 hit 
L 30a540,4 miss eviction 
S 34a540,4 miss eviction 
L 30a544,4 miss eviction 
