L 30b46c,4 hit 
S 34bf14,4 hit 
L 30b470,4 hit 
S 34bf94,4 hit 
L 30b474,4 hit 
L 30b478,4 hit 
S 34c094,4 hit 
L 30b47c,4 hit 
S 34c114,4 hit 
S 34c014,4 hit 
L 30b4e0,4 miss 
S 34bd98,4 hit 
L 30b4e4,4 hit 
S 34be18,4 hit 
L 30b4e8,4 hit 
S 34be98,4 hit 
L 30b4ec,4 hit 
S 34bf18,4 hit 
L 30b4f0,4 hit 
S 34bf98,4 hit 
L 30b4f4,4 hit 
S 34c018,4 hit 
L 30b4f8,4 hit 
L 30b4fc,4 hit 
S 34c118,4 hit 
S 34c098,4 hit 
L 30b560,4 miss 
S 34bd9c,4 hit 
L 30b564,4 hit 
S 34be1c,4 hit 
L 30b568,4 hit 
S 34be9c,4 hit 
L 30b56c,4 hit 
S 34bf1c,4 hit 
L 30b570,4 hit 
S 34bf9c,4 hit 
L 30b574,4 hit 
S 34c01c,4 hit 
L 30b578,4 hit 
S 34c09c,4 hit 
L 30b57c,4 hit 
S 34c11c,4 hit 
L 30b580,4 miss eviction 
L 30b584,4 hit 
S 34b220,4 miss eviction 
L 30b588,4 hit 
S 34b2a0,4 miss eviction 
L 30b58c,4 hit 
S 34b320,4 miss eviction 
L 30b590,4 hit 
S 34b3a0,4 miss eviction 
L 30b594,4 hit 
S 34b420,4 miss eviction 
L 30b598,4 hit 
S 34b4a0,4 miss eviction 
L 30b59c,4 hit 
S 34b520,4 miss eviction 
S 34b1a0,4 miss eviction 
L 30b600,4 miss eviction 
S 34b1a4,4 hit 
L 30b604,4 hit 
L 30b608,4 hit 
S 34b2a4,4 hit 
L 30b60c,4 hit 
S 34b324,4 hit 
L 30b610,4 hit 
S 34b3a4,4 hit 
L 30b614,4 hit 
S 34b424,4 hit 
L 30b618,4 hit 
S 34b4a4,4 hit 
L 30b61c,4 hit 
S 34b524,4 hit 
S 34b224,4 hit 
L 30b680,4 miss eviction 
S 34b1a8,4 hit 
L 30b684,4 hit 
S 34b228,4 hit 
L 30b688,4 hit 
L 30b68c,4 hit 
S 34b328,4 hit 
L 30b690,4 hit 
S 34b3a8,4 hit 
L 30b694,4 hit 
S 34b428,4 hit 
L 30b698,4 hit 
S 34b4a8,4 hit 
L 30b69c,4 hit 
S 34b528,4 hit 
S 34b2a8,4 hit 
L 30b700,4 miss eviction 
S 34b1ac,4 hit 
L 30b704,4 hit 
S 34b22c,4 hit 
L 30b708,4 hit 
S 34b2ac,4 hit 
L 30b70c,4 hit 
L 30b710,4 hit 
S 34b3ac,4 hit 
L 30b714,4 hit 
S 34b42c,4 hit 
L 30b718,4 hit 
S 34b4ac,4 hit 
L 30b71c,4 hit 
S 34b52c,4 hit 
S 34b32c,4 hit 
L 30b780,4 miss eviction 
S 34b1b0,4 hit 
L 30b784,4 hit 
S 34b230,4 hit 
L 30b788,4 hit 
S 34b2b0,4 hit 
L 30b78c,4 hit 
S 34b330,4 hit 
L 30b790,4 hit 
L 30b794,4 hit 
S 34b430,4 hit 
L 30b798,4 hit 
S 34b4b0,4 hit 
L 30b79c,4 hit 
S 34b530,4 hit 
S 34b3b0,4 hit 
L 30b800,4 miss eviction 
S 34b1b4,4 hit 
L 30b804,4 hit 
S 34b234,4 hit 
L 30b808,4 hit 
S 34b2b4,4 hit 
L 30b80c,4 hit 
S 34b334,4 hit 
L 30b810,4 hit 
S 34b3b4,4 hit 
L 30b814,4 hit 
L 30b818,4 hit 
S 34b4b4,4 hit 
L 30b81c,4 hit 
S 34b534,4 hit 
S 34b434,4 hit 
L 30b880,4 miss eviction 
S 34b1b8,4 hit 
L 30b884,4 hit 
S 34b238,4 hit 
L 30b888,4 hit 
S 34b2b8,4 hit 
L 30b88c,4 hit 
S 34b338,4 hit 
L 30b890,4 hit 
S 34b3b8,4 hit 
L 30b894,4 hit 
S 34b438,4 hit 
L 30b898,4 hit 
L 30b89c,4 hit 
S 34b538,4 hit 
S 34b4b8,4 hit 
L 30b900,4 miss eviction 
S 34b1bc,4 hit 
L 30b904,4 hit 
S 34b23c,4 hit 
L 30b908,4 hit 
S 34b2bc,4 hit 
L 30b90c,4 hit 
S 34b33c,4 hit 
L 30b910,4 hit 
S 34b3bc,4 hit 
L 30b914,4 hit 
S 34b43c,4 hit 
L 30b918,4 hit 
S 34b4bc,4 hit 
L 30b91c,4 hit 
S 34b53c,4 hit 
L 30b5a0,4 miss eviction 
L 30b5a4,4 hit 
S 34b620,4 miss eviction 
L 30b5a8,4 hit 
S 34b6a0,4 miss eviction 
L 30b5ac,4 hit 
S 34b720,4 miss eviction 
L 30b5b0,4 hit 
S 34b7a0,4 miss eviction 
L 30b5b4,4 hit 
S 34b820,4 miss eviction 
L 30b5b8,4 hit 
S 34b8a0,4 miss eviction 
L 30b5bc,4 hit 
S 34b920,4 miss eviction 
S 34b5a0,4 miss eviction 
L 30b620,4 miss eviction 
S 34b5a4,4 hit 
L 30b624,4 hit 
L 30b628,4 hit 
S 34b6a4,4 hit 
L 30b62c,4 hit 
S 34b724,4 hit 
L 30b630,4 hit 
S 34b7a4,4 hit 
L 30b634,4 hit 
S 34b824,4 hit 
L 30b638,4 hit 
S 34b8a4,4 hit 
L 30b63c,4 hit 
S 34b924,4 hit 
S 34b624,4 miss eviction 
L 30b6a0,4 miss eviction 
S 34b5a8,4 hit 
L 30b6a4,4 hit 
S 34b628,4 hit 
L 30b6a8,4 hit 
L 30b6ac,4 hit 
S 34b728,4 hit 
L 30b6b0,4 hit 
S 34b7a8,4 hit 
L 30b6b4,4 hit 
S 34b828,4 hit 
L 30b6b8,4 hit 
S 34b8a8,4 hit 
L 30b6bc,4 hit 
S 34b928,4 hit 
S 34b6a8,4 miss eviction 
L 30b720,4 miss eviction 
S 34b5ac,4 hit 
L 30b724,4 hit 
S 34b62c,4 hit 
L 30b728,4 hit 
S 34b6ac,4 hit 
L 30b72c,4 hit 
L 30b730,4 hit 
S 34b7ac,4 hit 
L 30b734,4 hit 
S 34b82c,4 hit 
L 30b738,4 hit 
S 34b8ac,4 hit 
L 30b73c,4 hit 
S 34b92c,4 hit 
S 34b72c,4 miss eviction 
L 30b7a0,4 miss eviction 
S 34b5b0,4 hit 
L 30b7a4,4 hit 
S 34b630,4 hit 
L 30b7a8,4 hit 
S 34b6b0,4 hit 
L 30b7ac,4 hit 
S 34b730,4 hit 
L 30b7b0,4 hit 
L 30b7b4,4 hit 
S 34b830,4 hit 
L 30b7b8,4 hit 
S 34b8b0,4 hit 
L 30b7bc,4 hit 
S 34b930,4 hit 
S 34b7b0,4 miss eviction 
L 30b820,4 miss eviction 
S 34b5b4,4 hit 
L 30b824,4 hit 
S 34b634,4 hit 
L 30b828,4 hit 
S 34b6b4,4 hit 
L 30b82c,4 hit 
S 34b734,4 hit 
L 30b830,4 hit 
S 34b7b4,4 hit 
L 30b834,4 hit 
L 30b838,4 hit 
S 34b8b4,4 hit 
L 30b83c,4 hit 
S 34b934,4 hit 
S 34b834,4 miss eviction 
L 30b8a0,4 miss eviction 
S 34b5b8,4 hit 
L 30b8a4,4 hit 
S 34b638,4 hit 
L 30b8a8,4 hit 
S 34b6b8,4 hit 
L 30b8ac,4 hit 
S 34b738,4 hit 
L 30b8b0,4 hit 
S 34b7b8,4 hit 
L 30b8b4,4 hit 
S 34b838,4 hit 
L 30b8b8,4 hit 
L 30b8bc,4 hit 
S 34b938,4 hit 
S 34b8b8,4 miss eviction 
L 30b920,4 miss eviction 
S 34b5bc,4 hit 
L 30b924,4 hit 
S 34b63c,4 hit 
L 30b928,4 hit 
S 34b6bc,4 hit 
L 30b92c,4 hit 
S 34b73c,4 hit 
L 30b930,4 hit 
S 34b7bc,4 hit 
L 30b934,4 hit 
S 34b83c,4 hit 
L 30b938,4 hit 
S 34b8bc,4 hit 
L 30b93c,4 hit 
S 34b93c,4 miss eviction 
L 30b5c0,4 miss eviction 
L 30b5c4,4 hit 
S 34ba20,4 miss eviction 
L 30b5c8,4 hit 
S 34baa0,4 miss eviction 
L 30b5cc,4 hit 
S 34bb20,4 miss eviction 
L 30b5d0,4 hit 
S 34bba0,4 miss eviction 
L 30b5d4,4 hit 
S 34bc20,4 miss eviction 
L 30b5d8,4 hit 
S 34bca0,4 miss eviction 
L 30b5dc,4 hit 
S 34bd20,4 miss eviction 
S 34b9a0,4 miss eviction 
L 30b640,4 miss eviction 
S 34b9a4,4 hit 
L 30b644,4 hit 
L 30b648,4 hit 
S 34baa4,4 hit 
L 30b64c,4 hit 
S 34bb24,4 hit 
L 30b650,4 hit 
S 34bba4,4 hit 
L 30b654,4 hit 
S 34bc24,4 hit 
L 30b658,4 hit 
S 34bca4,4 hit 
L 30b65c,4 hit 
S 34bd24,4 hit 
S 34ba24,4 hit 
L 30b6c0,4 miss eviction 
S 34b9a8,4 hit 
L 30b6c4,4 hit 
S 34ba28,4 hit 
L 30b6c8,4 hit 
L 30b6cc,4 hit 
S 34bb28,4 hit 
L 30b6d0,4 hit 
S 34bba8,4 hit 
L 30b6d4,4 hit 
S 34bc28,4 hit 
L 30b6d8,4 hit 
S 34bca8,4 hit 
L 30b6dc,4 hit 
S 34bd28,4 hit 
S 34baa8,4 hit 
L 30b740,4 miss eviction 
S 34b9ac,4 hit 
L 30b744,4 hit 
S 34ba2c,4 hit 
L 30b748,4 hit 
S 34baac,4 hit 
L 30b74c,4 hit 
L 30b750,4 hit 
S 34bbac,4 hit 
L 30b754,4 hit 
S 34bc2c,4 hit 
L 30b758,4 hit 
S 34bcac,4 hit 
L 30b75c,4 hit 
S 34bd2c,4 hit 
S 34bb2c,4 hit 
L 30b7c0,4 miss eviction 
